X,Y
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
38.65402446,0
40.48443039,0
42.40151258,0
44.40937545,0
46.51231779,0
48.71484195,0
51.02166348,0
53.43772124,0.1
55.96818796,0.1
58.6184813,0.1
61.39427548,0.1
64.30151342,0.1
67.34641944,0.1
70.53551263,0.1
73.87562076,0.212936128
77.37389492,0.509329191
81.03782484,0.842219878
84.87525491,1.214926157
88.89440098,1.634083958
93.10386795,2.099693282
97.51266821,2.638297856
102.1302409,3.236625817
106.9664721,3.914584959
112.0317161,4.672175283
117.3368175,5.54921238
122.8931343,6.542378284
128.7125626,7.678216723
134.8075616,9.003179218
141.1911805,10.51062984
148.019692,11.99238902
153.4619297,13.65337052
158.8379203,15.47196405
163.3906116,17.28102848
167.45637,19.00285061
171.1607326,20.75605587
175.0988728,22.60812938
179.4447836,24.53385152
182.3021309,26.22029461
185.4703162,28.04801417
188.4436423,29.8865526
191.1880092,31.65232887
193.9723433,33.46411426
196.688862,35.25076489
199.4708895,37.05608628
202.3758498,38.90680248
205.4344697,40.80449108
208.5141917,42.67168611
211.5508527,44.4551582
214.6317376,46.19616032
218.0200155,47.96560102
221.27508,49.72354022
224.4975821,51.40194339
228.399072,53.18026212
231.6823738,55.02503775
235.5536722,56.78209052
239.6761792,58.44093077
244.2236864,60.19039753
249.2175419,62.01279498
254.3135112,63.75556125
259.5136822,65.43007222
265.2033476,67.15160214
271.4098843,68.91067112
278.1162479,70.64520269
284.7218288,72.3784191
292.1792584,74.09973196
300.2483602,75.84274001
308.3056076,77.58765584
317.2784695,79.31452785
326.5870233,81.02164153
336.1686786,82.67035901
346.1505878,84.30900038
357.2150306,85.95665667
368.9223652,87.6470721
381.780609,89.33252536
395.4666849,91.05629499
410.1886348,92.73060861
425.1142959,94.39876485
440.7444667,96.08770575
456.7467507,97.36126554
460,99.999
470,99.999
480,99.999
490,99.999
500,99.999
510,99.999
520,99.999
530,99.999
540,99.999
550,99.999
560,99.999
570,99.999
580,99.999
590,99.999
600,99.999
