X,Y
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0.01
8.5,0.01
9,0.01
9.5,0.01
10,0.05
10.5,0.05
11,0.05
11.5,0.05
12,0.05
12.66028449,0.1
13.25979413,0.144115093
13.88769268,1.220230145
14.54532446,2.425745868
15.23409746,3.763980227
15.95548631,5.205071529
16.72952203,6.737018294
17.48429666,8.305089723
18.22357081,9.820453854
18.96724105,11.59924023
19.69517077,13.40381762
20.39222822,15.18311022
21.06056135,16.95452074
21.73374632,18.74650136
22.37908986,20.5438995
23.03040621,22.31631496
23.64303543,24.05709976
24.23548302,25.76655945
24.8702584,27.52395791
25.48912175,29.30955873
26.08564201,31.07858161
26.69612259,32.87414821
27.3208902,34.72280227
27.96027922,36.5648204
28.61187382,38.40597911
29.2025549,40.18787824
29.83992518,41.9318061
30.45008825,43.6328608
31.07272787,45.37941903
31.70809913,47.12976922
32.3564624,48.86495156
33.01808331,50.60771783
33.7387307,52.38476216
34.43193476,54.1421653
35.13938154,55.86721038
35.95828006,57.69708801
36.79980935,59.53910614
37.66103289,61.37448833
38.54241159,63.17669087
39.44441713,64.94571375
40.4190633,66.69039439
41.37906257,68.40799684
42.46286232,70.13919855
43.63555733,71.90781896
44.80652951,73.63597034
46.11056937,75.33629861
47.46339587,76.99563358
48.87273392,78.62315187
50.45711206,80.28145871
52.24290545,81.95051405
54.24789729,83.64545603
56.38729919,85.31102985
58.69386517,87.17764987
61.57206382,88.95343289
64.48772067,90.45424758
67.54144427,91.82566159
70.73977258,93.04776715
74.08955314,94.1238822
77.59795776,95.1070942
81.27249786,95.98744927
85.12104053,96.74172163
89.15182543,97.37322925
93.37348237,97.73266366
95.69695748,97.93190811
97,99.9
98,99.9
99,99.9
100,99.9
101,99.9
102,99.9
103,99.9
104,99.9
105,99.9
106,99.9
107,99.9
108,99.9
109,99.9
110,99.9
